"Employment Solutions Personnel Services","67%","$33.5m","Human Resources","Colorado","Fort Collins CO",,40,
"The Everest Equity Company","67%","$4.5m","Financial Services","New York","New York City",,37,
"Secure Components","67%","$4.7m","Business Products & Services","Pennsylvania","Philadelphia",,12,
"GDS","67%","$3.4m","IT Services","Virginia","Washington DC",,43,
"Kika Enterprises","67%","$6.4m","Telecommunications","Florida","Miami",,17,
"HealthMark Group","67%","$2.7m","Health","Texas","Dallas",,22,
"Liberty Alliance","67%","$10.4m","Media","Georgia","Atlanta",,20,
"The Ironside Group","67%","$23.6m","IT Services","Massachusetts","Boston",,80,
"American Environmental & Engineering Consultants","66%","$38m","Government Services","Virginia","Washington DC",,106,
"Bomgar","66%","$67.9m","Software","Mississippi","Jackson MS",,266,
"Principle Solutions Group","66%","$100.2m","IT Services","Georgia","Atlanta",,559,
"Xcentric","66%","$11.8m","IT Services","Georgia","Atlanta",,80,
"Connect Wireless","66%","$28.1m","Telecommunications","Idaho","Boise City ID",,273,
"Core States Group","66%","$72.5m","Engineering","Georgia","Atlanta",,262,
"The FaverGray Company","66%","$151.4m","Construction","Florida","Jacksonville FL",,61,
"Matlen Silver","66%","$83.2m","IT Services","New Jersey","New York City",,464,
"M S International","66%","$759.1m","Consumer Products & Services","California","Los Angeles",,1187,
"American Technologies","66%","$180.8m","Construction","California","Los Angeles",,760,
"PriorityOne Group","66%","$4m","Health","New Jersey","New York City",,28,
"Cornerstone Mortgage","66%","$35.5m","Financial Services","Missouri","St. Louis MO-IL",,183,
"Broad Street Realty","66%","$23m","Real Estate","Maryland","Washington DC",,33,
"Prestige Staffing","66%","$29m","Human Resources","Georgia","Atlanta",,79,
"ThunderCat Technology","66%","$358.9m","Software","Virginia","Washington DC",,49,
"Creative Consultants Group","66%","$3.1m","IT Services","South Carolina","Myrtle Beach-Conway-North Myrtle Beach SC-NC",,20,
"Mactus group","66%","$12.7m","Business Products & Services","Washington","Seattle",,74,
"KLASCHOOLS","66%","$9.3m","Education","Florida","Miami",,150,
"La Flor de Mexico","66%","$13.6m","Food & Beverage","California","Los Angeles",,108,
"Pacific Crest Group","66%","$2.2m","Business Products & Services","California","San Francisco",,18,
"VoIP Innovations","66%","$14.8m","Telecommunications","Pennsylvania","Pittsburgh PA",,16,
"Answer First Communications","66%","$4.8m","Business Products & Services","Florida","Tampa",,105,
"Industrial Revolution","66%","$15.3m","Consumer Products & Services","Washington","Seattle",,36,
"Dimensional Innovations","66%","$23.5m","Engineering","Kansas","Kansas City MO-KS",,157,
"Netchex","65%","$15.5m","Human Resources","Louisiana","New Orleans-Metairie LA",,120,
"ImportLA","65%","$13.8m","Business Products & Services","California","Los Angeles",,30,
"Hewins Financial Advisors","65%","$17m","Financial Services","California","San Francisco",,66,
"South Floirda Tissue Paper Co.","65%","$8.3m","Manufacturing","Florida","Miami",,50,
"Valudor Products","65%","$43.5m","Manufacturing","California","San Diego",,11,
"Cineviz","65%","$3.8m","Advertising & Marketing","Wisconsin","Green Bay WI",,24,
"KELL Partners","65%","$3.2m","Business Products & Services","Texas","Austin",,18,
"Southwest Capital Bank","65%","$17.7m","Financial Services","New Mexico","Albuquerque NM",,83,
"ShortStack","65%","$4.7m","Software","Nevada","Reno NV",,20,
"Medix","65%","$127.2m","Human Resources","Illinois","Chicago",,328,
"SofterWare","65%","$47.3m","Software","Pennsylvania","Philadelphia",,200,
"JLG Architects","65%","$24.3m","Construction","North Dakota","Grand Forks ND-MN",,104,
"AppRiver","65%","$64.1m","IT Services","Florida","Pensacola-Ferry Pass-Brent FL",,242,
"Vaco","65%","$291.3m","Business Products & Services","Tennessee","Nashville",,3272,
"Alterman","65%","$147.4m","Construction","Texas","San Antonio TX",,750,
"Warehouse of Fixtures","65%","$5.2m","Business Products & Services","Missouri","St. Louis MO-IL",,21,
"BERRICLE","65%","$3.5m","Retail","New York","New York City",,15,
"The Brooks Group","65%","$6.8m","Business Products & Services","North Carolina","Greensboro-High Point NC",,27,
"RAM Technologies","65%","$13.2m","Software","Pennsylvania","Philadelphia",,44,
"ComplianceSigns.com","65%","$9.9m","Manufacturing","Illinois",,,70,
"The Learning Experience","65%","$48.1m","Education","Florida","Miami",,620,
"Isos Technology","65%","$4.3m","IT Services","Arizona","Phoenix",,22,
"The PPA Group","65%","$6.5m","Real Estate","Texas","Austin",,91,
"Vertical Nerve","65%","$3.6m","Advertising & Marketing","Texas","Dallas",,35,
"Precision AirConvey","65%","$13.4m","Manufacturing","Delaware","Philadelphia",,35,
"CAN Capital","65%","$213.4m","Financial Services","New York","New York City",,450,
"Indusa Technical","65%","$5.6m","IT Services","Illinois","Chicago",,219,
"milk + honey","65%","$11.1m","Consumer Products & Services","Texas","Austin",,210,
"Century Service Affiliates","65%","$4.4m","Manufacturing","New Jersey","New York City",,36,
"Consero Global","64%","$8.6m","Financial Services","Texas","Austin",,324,
"Orion Systems Integrators","64%","$85.5m","IT Services","New Jersey","New York City",,1300,
"Symmetry","64%","$24.2m","IT Services","Wisconsin","Milwaukee-Waukesha-West Allis WI",,106,
"Jade Global","64%","$19.8m","IT Services","California","San Jose",,374,
"Advanced Fraud Solutions","64%","$4.6m","Financial Services","North Carolina","Greensboro-High Point NC",,15,
"Datalab USA","64%","$30.8m","IT Services","Maryland","Washington DC",,64,
"Afidence","64%","$3.8m","IT Services","Ohio","Cincinnati",,38,
"OSM Worldwide","64%","$60.1m","Logistics & Transportation","Illinois","Chicago",,45,
"Vcorp Services","64%","$10.1m","Business Products & Services","New York","New York City",,25,
"QED National","64%","$11.1m","IT Services","New York","New York City",,99,
"Gateway Mortgage Group","64%","$130.2m","Financial Services","Oklahoma","Tulsa OK",,650,
"LISS Consulting","64%","$3.8m","IT Services","New York","New York City",,15,
"TK Wax Center 2 (New York NY)","64%","$2.7m","Retail","New York","New York City",,20,
"Health Facility Solutions Company","64%","$9.6m","Government Services","Texas","San Antonio TX",,105,
"GolfTEC","64%","$34.4m","Consumer Products & Services","Colorado","Denver",,320,
"NextGen Global Resources","64%","$43.2m","Human Resources","Illinois","Chicago",,431,
"FiberLight","64%","$135.2m","Telecommunications","Georgia","Atlanta",,133,
"McKinley Marketing Partners","64%","$12.8m","Business Products & Services","Virginia","Washington DC",,20,
"San Diego Sign Company","64%","$25.8m","Advertising & Marketing","California","San Diego",,137,
"Precision Painting & Decorating","64%","$2.6m","Construction","Illinois","Chicago",,30,
"IMEG","64%","$4m","Travel & Hospitality","Tennessee","Sevierville TN",,27,
"inMotion Brand Strategies Powered by Proforma","64%","$2m","Advertising & Marketing","Massachusetts","Boston",,26,
"Premier Mushrooms","64%","$29.9m","Food & Beverage","California",,,238,
"Masergy Communications","64%","$254.3m","IT Services","Texas","Dallas",,392,
"Alltrust Insurance","64%","$7.5m","Insurance","Florida","Tampa",,36,
"RPC","64%","$15.3m","Human Resources","Texas","Dallas",,23,
"Segue Technologies","64%","$19.7m","IT Services","Virginia","Washington DC",,91,
"GroupOne Health Source","64%","$18.3m","Health","Missouri","Jefferson City MO",,111,
"HazTek","64%","$16.6m","Business Products & Services","New Jersey","Philadelphia",,144,
"Independent Financial Group","64%","$124.4m","Financial Services","California","San Diego",,63,
"United Advisors","64%","$4.2m","Financial Services","Illinois","Chicago",,24,
"Sunsight Instruments","64%","$3.5m","Telecommunications","Florida","Orlando FL",,10,
"Thunder Tech","64%","$4.5m","Advertising & Marketing","Ohio","Cleveland",,42,
"Business Solution Partners","64%","$2.6m","IT Services","New York","New York City",,12,
"SAC","63%","$9.2m","Engineering","Vermont","Burlington-South Burlington VT",,56,
"Advanced Technology Consulting","63%","$2.4m","Telecommunications","Ohio","Cincinnati",,9,
"United Shore","63%","$510.1m","Financial Services","Michigan","Detroit",,1405,
"Advantage Payroll Services","63%","$10m","Human Resources","New York","New York City",,40,
"Rustic Crust and American Flatbread","63%","$19.3m","Food & Beverage","New Hampshire","Boston",,139,
"Technossus","63%","$7.5m","Software","California","Los Angeles",,31,
"Key Safety Systems","63%","$1.5b","Manufacturing","Michigan","Detroit",,12600,
"Edifecs","63%","$84.8m","Health","Washington","Seattle",,450,
"CME Associates","63%","$8m","Engineering","Connecticut","Worcester MA-CT",,61,
"Seattle Coffee Gear","63%","$16.7m","Retail","Washington","Seattle",,54,
"Rosnet","63%","$5.9m","Food & Beverage","Missouri","Kansas City MO-KS",,45,
"Renaissance Electronic Services","63%","$31.4m","Software","Indiana","Indianapolis IN",,185,
"Builder Homesite","63%","$48.1m","Advertising & Marketing","Texas","Austin",,152,
"TeraThink","63%","$49m","IT Services","Virginia","Washington DC",,140,
"Simplicity Laser","63%","$6.5m","Consumer Products & Services","Utah","Provo-Orem UT",,115,
"Med Tech Solutions","63%","$6.3m","Health","California","Los Angeles",,35,
"eSquared Communication Consulting","63%","$10.3m","Telecommunications","Arizona","Phoenix",,71,
"Prime Technological Services","63%","$34.6m","Manufacturing","Georgia","Atlanta",,104,
"Burwood Group","63%","$98.9m","IT Services","Illinois","Chicago",,126,
"Massage Heights","63%","$88.3m","Consumer Products & Services","Texas","San Antonio TX",,29,
"GPS Industries","63%","$27.6m","Telecommunications","Florida","North Port-Sarasota-Bradenton FL",,59,
"My IT","63%","$4.4m","IT Services","Louisiana","New Orleans-Metairie LA",,25,
"AmeriFirst Home Mortgage","63%","$70.4m","Financial Services","Michigan","Kalamazoo-Portage MI",,425,
"Maxim Management Group","63%","$13.7m","Health","Texas","Dallas",,222,
"Lexicon Consulting","63%","$16.5m","Government Services","California","San Diego",,675,
"Abby's Aircraft Catering Service","63%","$4.8m","Food & Beverage","Texas","Houston",,76,
"Killer Infographics","63%","$2m","Advertising & Marketing","Washington","Seattle",,24,
"Weld Power Service Company","63%","$4.7m","Energy","Massachusetts","Worcester MA-CT",,32,
"Method Technologies","63%","$3m","IT Services","California","Los Angeles",,26,
"The Premier Group","63%","$18.5m","Human Resources","Colorado","Denver",,35,
"ProShots Indoor Range","63%","$2.2m","Retail","North Carolina","Winston-Salem NC",,10,
"ACS","63%","$3m","Telecommunications","California","Los Angeles",,16,
"Sundance Healthcare","63%","$24.6m","Health","Texas","Dallas",,474,
"Image Business Interiors","63%","$8.7m","Business Products & Services","Virginia","Virginia Beach-Norfolk-Newport News VA-NC",,14,
"Affirma Consulting","63%","$17.2m","Business Products & Services","Washington","Seattle",,200,
"Monster Transmission & Performance","63%","$6.6m","Manufacturing","Florida","Homosassa Springs FL",,48,
"Myotcstore.com","63%","$50.9m","Retail","New York","New York City",,20,
"Cassaday & Company","63%","$12.4m","Financial Services","Virginia","Washington DC",,39,
"WunderLand Group","63%","$18.1m","Business Products & Services","Illinois","Chicago",,26,
"Prosek Partners","63%","$24.4m","Advertising & Marketing","New York","New York City",,102,
"IMCORP","63%","$21m","Engineering","Connecticut","Hartford-West Hartford-East Hartford CT",,83,
"HR Works","63%","$6.9m","Human Resources","New York","Rochester NY",,70,
"Beech Medical Group","63%","$5.9m","Health","Arizona","Phoenix",,230,
"Altamarea Group","63%","$65.6m","Food & Beverage","New York","New York City",,950,
"Society Awards","62%","$5.3m","Consumer Products & Services","New York","New York City",,10,
"Pedigree Technologies","62%","$9.3m","Software","North Dakota","Fargo ND-MN",,63,
"Level One Bank","62%","$44.7m","Financial Services","Michigan","Detroit",,166,
"Tekk Fusion","62%","$3.1m","IT Services","Florida","Orlando FL",,23,
"Achieve","62%","$4.4m","Business Products & Services","Florida","Miami",,45,
"Proforma ASAP","62%","$14.6m","Business Products & Services","Ohio","Cleveland",,11,
"Private Bank of Buckhead","62%","$20m","Financial Services","Georgia","Atlanta",,86,
"Quantum Vision","62%","$6.1m","IT Services","Maryland","Washington DC",,40,
"HealthLink Dimensions","62%","$5.4m","Business Products & Services","Georgia","Atlanta",,16,
"ICE","62%","$5.5m","Business Products & Services","California","San Diego",,11,
"EDG","62%","$2.9m","Engineering","New York","New York City",,18,
"Oakworth Capital Bank","62%","$15.3m","Financial Services","Alabama","Birmingham-Hoover AL",,61,
"IT Authorities","62%","$9.2m","IT Services","Florida","Tampa",,75,
"Tully Rinckey","62%","$14.3m","Consumer Products & Services","New York","Albany-Schenectady-Troy NY",,116,
"Mediassociates","62%","$8.6m","Advertising & Marketing","Connecticut","Bridgeport-Stamford-Norwalk CT",,40,
"MCT TRADING","62%","$11.3m","Business Products & Services","California","San Diego",,71,
"KW Cages","62%","$2.1m","Manufacturing","California","San Diego",,18,
"Four Hands","62%","$114.9m","Consumer Products & Services","Texas","Austin",,122,
"ActivEngage","62%","$10.2m","Software","Florida","Orlando FL",,154,
"ServerLIFT","62%","$7.8m","Manufacturing","Arizona","Phoenix",,27,
"GreenGeeks","62%","$3.9m","IT Services","California","Los Angeles",,40,
"Alert Tech","62%","$4.8m","Retail","Texas","Houston",,25,
"M&S Technologies","62%","$44.3m","IT Services","Texas","Dallas",,39,
"PAN Communications","62%","$13.1m","Advertising & Marketing","Massachusetts","Boston",,95,
"GeBBS Healthcare Solutions","62%","$30.2m","Health","California","Los Angeles",,4000,
"HNI","62%","$27.8m","Insurance","Wisconsin","Milwaukee-Waukesha-West Allis WI",,123,
"Marketing Mojo","61%","$2.8m","Advertising & Marketing","Virginia","Charlottesville VA",,17,
"Total Quality Logistics","61%","$2.2b","Logistics & Transportation","Ohio","Cincinnati",,3791,
"Bandwave Systems","61%","$3.5m","Telecommunications","New Jersey","Philadelphia",,12,
"Mack Packaging Powered by Proforma","61%","$3.2m","Business Products & Services","California","San Diego",,14,
"San Bernardo Ice Cream","61%","$10.3m","Food & Beverage","Florida","Miami",,15,
"SpearMC Consulting","61%","$8.8m","IT Services","California","San Francisco",,22,
"NEUTECH Packaging Systems","61%","$5.4m","Business Products & Services","Kentucky","Lexington-Fayette KY",,5,
"180 recruiting + consulting","61%","$3.3m","Engineering","Illinois","Chicago",,20,
"iNDIGO Health Partners","61%","$38.7m","Health","Michigan","Traverse City MI",,158,
"The Flame Broiler","61%","$98.1m","Food & Beverage","California","Los Angeles",,1449,
"MEA|NEA","61%","$15.5m","Health","Georgia","Atlanta",,100,
"M.S. Signs","61%","$6.8m","Manufacturing","New Jersey","New York City",,30,
"Berrett Pest Control","61%","$6.5m","Consumer Products & Services","Texas","Dallas",,45,
"All4","61%","$7.6m","Environmental Services","Pennsylvania","Philadelphia",,54,
"GHA Technologies","61%","$138.9m","IT Services","Arizona","Phoenix",,199,
"Max Borges Agency","61%","$11.8m","Advertising & Marketing","Florida","Miami",,65,
"Teles Properties","61%","$62m","Real Estate","California","Los Angeles",,468,
"KAVI Software","61%","$3.1m","Software","Georgia","Atlanta",,50,
"Achieve3000","61%","$76.9m","Education","New Jersey","New York City",,361,
"Domain Computer Services","61%","$4.9m","IT Services","New Jersey","New York City",,34,
"GCOM Software","61%","$60.5m","IT Services","New York","Albany-Schenectady-Troy NY",,137,
"iD Additives","61%","$6.3m","Manufacturing","Illinois","Chicago",,8,
"DSYS","60%","$4.4m","IT Services","Georgia","Atlanta",,60,
"Westcor Land Title Insurance Company","60%","$391.9m","Insurance","Florida","Orlando FL",,272,
"Carenet Healthcare Services","60%","$47.5m","Health","Texas","San Antonio TX",,763,
"Netpace","60%","$17.8m","IT Services","California","San Francisco",,64,
"Research Square","60%","$22m","Education","North Carolina","Durham-Chapel Hill NC",,169,
"Paragus Strategic IT","60%","$4.7m","IT Services","Massachusetts","Springfield MA",,41,
"DCINY","60%","$4.9m","Media","New York","New York City",,22,
"AdsNext","60%","$2.6m","Advertising & Marketing","Maryland","Baltimore",,18,
"Streamline Publishing","60%","$4.8m","Media","Florida","Miami",,15,
"InVision Communications","60%","$65.5m","Business Products & Services","California","San Francisco",,124,
"Industrial Strength Marketing","60%","$3m","Advertising & Marketing","Tennessee","Nashville",,16,
"ImageSoft","60%","$22.4m","Business Products & Services","Michigan","Detroit",,79,
"Dito","60%","$7.2m","IT Services","Virginia","Washington DC",,20,
"Cipher Tech Solutions","60%","$4.2m","Government Services","New York","New York City",,28,
"Modera Wealth Management","60%","$12.6m","Financial Services","New Jersey","New York City",,41,
"Pediatric Therapy","60%","$23.7m","Education","Colorado","Boulder CO",,377,
"Jackson Design and Remodeling","60%","$13.9m","Construction","California","San Diego",,48,
"Creative Lodging Solutions","60%","$137.3m","Travel & Hospitality","Kentucky","Lexington-Fayette KY",,161,
"GMS INC.","60%","$1.8b","Construction","Georgia","Atlanta",,3700,
"CivicPlus","60%","$20.7m","Government Services","Kansas","Manhattan KS",,193,
"Bean Group","60%","$22.7m","Real Estate","New Hampshire","Boston",,16,
"Trowbridge & Trowbridge","60%","$41.5m","Government Services","Virginia","Washington DC",,268,
"MyEmployees","60%","$10.9m","Human Resources","North Carolina","Wilmington NC",,59,
"Roberts Heating Air conditioning & Refrigeration","60%","$3.8m","Construction","Indiana","Louisville/Jefferson County KY-IN",,24,
"SEKO Logistics","60%","$527.5m","Logistics & Transportation","Illinois","Chicago",,2200,
"Triton Pacific Capital Partners","60%","$305.6m","Financial Services","California","Los Angeles",,19,
"Alpha Card Services","60%","$26.3m","Financial Services","Pennsylvania","Philadelphia",,56,
"American Business Solutions","60%","$17.1m","IT Services","Ohio","Columbus OH",,120,
"Trans-Expedite","60%","$63.5m","Logistics & Transportation","Texas","El Paso TX",,158,
"Kyyba","60%","$39.2m","IT Services","Michigan","Detroit",,448,
"JeffreyM Consulting","60%","$19.8m","Business Products & Services","Washington","Seattle",,185,
"AXIA Consulting","60%","$24m","IT Services","Ohio","Columbus OH",,69,
"interRel Consulting","60%","$13.5m","Business Products & Services","Texas","Dallas",,64,
"Telogis","60%","$110.9m","Software","California","Los Angeles",,700,
"Greycell Labs","60%","$3.5m","Software","New Jersey","New York City",,51,
"Stream Companies","60%","$42.4m","Advertising & Marketing","Pennsylvania","Philadelphia",,135,
"Quarry Services","60%","$7.1m","Manufacturing","Georgia","Atlanta",,31,
"ThomasARTS","60%","$20.1m","Advertising & Marketing","Utah","Ogden-Clearfield UT",,131,
"LTI Trucking Services","60%","$54.9m","Logistics & Transportation","Missouri","St. Louis MO-IL",,341,
"Million Dollar Baby","60%","$54.2m","Consumer Products & Services","California","Los Angeles",,70,
"Accurate Biometrics","60%","$9.8m","Business Products & Services","Illinois","Chicago",,51,
"Sability","59%","$7.2m","Human Resources","Georgia","Atlanta",,50,
"Intelliswift Software","59%","$61.5m","IT Services","California","San Francisco",,517,
"Plastek Cards","59%","$6.8m","Manufacturing","California","Los Angeles",,16,
"Best Electronics USA","59%","$73.6m","Consumer Products & Services","New Jersey","New York City",,5,
"Cox Manufacturing Company","59%","$17.5m","Manufacturing","Texas","San Antonio TX",,134,
"Three Brothers Bakery","59%","$4.6m","Food & Beverage","Texas","Houston",,79,
"UDig","59%","$22.3m","IT Services","Virginia","Richmond VA",,164,
"Strategic Hardware","59%","$6.8m","IT Services","Washington","Spokane-Spokane Valley WA",,7,
"eClinicalWorks","59%","$402m","Health","Massachusetts","Worcester MA-CT",,4622,
"Mycological Natural Products","59%","$3m","Food & Beverage","Oregon","Eugene OR",,16,
"Bowman Consulting Group","59%","$77.9m","Engineering","Virginia","Washington DC",,523,
"Infinity Systems Engineering","59%","$31m","Government Services","Colorado","Colorado Springs CO",,143,
"Informz","59%","$12.7m","Software","New York","Albany-Schenectady-Troy NY",,82,
"Web Decisions","59%","$8.5m","Advertising & Marketing","North Carolina","Greensboro-High Point NC",,57,
"Vertex Innovations","59%","$7.9m","Telecommunications","Colorado","Denver",,38,
"IT Direct","59%","$4.1m","IT Services","Connecticut","Hartford-West Hartford-East Hartford CT",,22,
"Concierge Auctions","59%","$16m","Real Estate","New York","New York City",,63,
"ServicEngineBPO","59%","$4.9m","Business Products & Services","New Jersey","Philadelphia",,410,
"Saratech","59%","$13.5m","Software","California","Los Angeles",,48,
"Technology Management Concepts","59%","$5.6m","Business Products & Services","California","Los Angeles",,25,
"The Kingston Group","59%","$3.7m","Construction","Tennessee","Nashville",,11,
"Liberty Pumps","59%","$96.4m","Manufacturing","New York","Rochester NY",,176,
"Lewellyn Technology","59%","$10.4m","Engineering","Indiana","Indianapolis IN",,47,
"PlayMaker CRM","59%","$6.2m","Software","Tennessee","Nashville",,40,
"OnsiteRIS","59%","$11.5m","IT Services","Georgia","Atlanta",,85,
"JES Construction","59%","$35.4m","Construction","Virginia","Virginia Beach-Norfolk-Newport News VA-NC",,300,
"Moguldom Media Group","59%","$15.8m","Media","Florida","Miami",,64,
"THE DAGIT GROUP","59%","$15.4m","Construction","Pennsylvania","Philadelphia",,15,
"Sonoma Partners","59%","$26.9m","IT Services","Illinois","Chicago",,147,
"Noble Studios","59%","$4.5m","Advertising & Marketing","Nevada","Reno NV",,47,
"iPROMOTEu","59%","$136.3m","Business Products & Services","Massachusetts","Boston",,68,
"Red Moon Marketing","59%","$8.6m","Advertising & Marketing","North Carolina","Charlotte",,28,
"County Fire Protection","59%","$4.4m","Business Products & Services","Ohio","Akron OH",,39,
"Professional Capital Services","58%","$11.4m","Financial Services","Pennsylvania","Philadelphia",,66,
"1SEO.com Digital Agency","58%","$4.7m","Advertising & Marketing","Pennsylvania","Philadelphia",,40,
"Nothing But NET","58%","$2.4m","IT Services","Arizona","Phoenix",,17,
"Educere","58%","$4.9m","Education","Pennsylvania","Philadelphia",,29,
"Divisions Maintenance Group","58%","$133.2m","Business Products & Services","Kentucky","Cincinnati",,142,
"VM Global Partners","58%","$5.3m","Business Products & Services","California","San Jose",,40,
"Entisys360","58%","$92.1m","IT Services","California","San Francisco",,110,
"MedicOne Medical Response","58%","$12.2m","Health","Texas","Dallas",,215,
"VSA Partners","58%","$74.3m","Advertising & Marketing","Illinois","Chicago",,282,
"Diono","58%","$40.6m","Consumer Products & Services","Washington","Seattle",,76,
"Silicon Mechanics","58%","$58.1m","Computer Hardware","Washington","Seattle",,77,
"Storflex","58%","$17.3m","Manufacturing","New York","Corning NY",,81,
"PackIt","58%","$17.1m","Consumer Products & Services","California","Los Angeles",,28,
"Christopher Peacock home","58%","$13.4m","Construction","Connecticut","Bridgeport-Stamford-Norwalk CT",,80,
"PracticeLink","58%","$11.3m","Health","West Virginia",,,42,
"Nor-Son","58%","$81m","Construction","Minnesota","Brainerd MN",,152,
"nLogic","58%","$21.2m","Government Services","Alabama","Huntsville AL",,125,
"Paycor","58%","$144.2m","Human Resources","Ohio","Cincinnati",,1181,
"Staging Concepts","58%","$37.5m","Manufacturing","Minnesota","Minneapolis",,145,
"P&L Technology","58%","$5.3m","IT Services","Nebraska","Omaha-Council Bluffs NE-IA",,36,
"TempWorks","58%","$18.5m","Software","Minnesota","Minneapolis",,135,
"Timmons Group","58%","$55.5m","Engineering","Virginia","Richmond VA",,382,
"CS3 Technology","58%","$3m","Business Products & Services","Oklahoma","Tulsa OK",,18,
"ZAK Products","58%","$30.6m","Business Products & Services","Texas","Dallas",,19,
"4th Source","58%","$25m","IT Services","Florida","Tampa",,408,
"Smarsh","58%","$42.2m","Software","Oregon","Portland OR",,243,
"Grand Equipment","58%","$33.5m","Construction","Michigan","Grand Rapids-Wyoming MI",,50,
"Atrion","58%","$120m","IT Services","Rhode Island","Providence-Warwick RI-MA",,252,
"Sullivan","58%","$16.7m","Advertising & Marketing","New York","New York City",,71,
"Exhibitus","58%","$20.6m","Advertising & Marketing","Georgia","Atlanta",,82,
"DOOR3 Business Applications","58%","$12.5m","Software","New York","New York City",,69,
"Viverae","58%","$37.1m","Health","Texas","Dallas",,737,
"Revature","58%","$56.5m","Education","Virginia","Washington DC",,700,
"Carolina's Home Medical Equipment","58%","$5.2m","Health","North Carolina","Charlotte",,38,
"Catrike","58%","$5.2m","Manufacturing","Florida","Orlando FL",,18,
"VOX Network Solutions","58%","$36.2m","Telecommunications","California","San Francisco",,100,
"Meridian Imaging Solutions","58%","$41.3m","Business Products & Services","Virginia","Washington DC",,117,
"Pariveda Solutions","57%","$83.6m","IT Services","Texas","Dallas",,456,
"Transnational Foods","57%","$104.6m","Food & Beverage","Florida","Miami",,40,
"Peopletrail","57%","$2m","Business Products & Services","Utah","Salt Lake City",,15,
"Deegit","57%","$30.3m","IT Services","Illinois","Chicago",,425,
"Chuck & Don's Pet Food & Supplies","57%","$62m","Retail","Minnesota","Minneapolis",,344,
"BuyAutoParts.com","57%","$52.9m","Consumer Products & Services","California","San Diego",,135,
"Parkway Construction","57%","$210.1m","Construction","Texas","Dallas",,165,
"Circle Computer Resources","57%","$11.2m","IT Services","Iowa","Iowa City IA",,74,
"Division-D","57%","$20.8m","Advertising & Marketing","Missouri","Jefferson City MO",,43,
"Voice Products","57%","$9.2m","IT Services","Kansas","Wichita KS",,49,
"BioAgilytix","57%","$18.7m","Health","North Carolina","Durham-Chapel Hill NC",,90,
"AutoClaims Direct","57%","$13.4m","Insurance","California","San Diego",,35,
"EnableSoft","57%","$3.6m","Software","Florida","Orlando FL",,27,
"Port Logistics Group","57%","$191.7m","Logistics & Transportation","California","Los Angeles",,1139,
"The Scientific Consulting Group","57%","$10.7m","Government Services","Maryland","Washington DC",,81,
"Big Health","57%","$7.6m","Health","Pennsylvania","Allentown-Bethlehem-Easton PA-NJ",,27,
"BrightWave","57%","$4.2m","Advertising & Marketing","Georgia","Atlanta",,38,
"Expert Technical Solutions","57%","$3.7m","IT Services","Georgia","Atlanta",,27,
"Oasis Turf & Tree","57%","$3.5m","Environmental Services","Ohio","Cincinnati",,36,
"Professional Consulting","57%","$3.8m","IT Services","Minnesota","Minneapolis",,16,
"Link Systems l ProLease","57%","$5.4m","Software","Connecticut","Bridgeport-Stamford-Norwalk CT",,16,
"Stearns Financial Group","57%","$4.7m","Financial Services","North Carolina","Greensboro-High Point NC",,20,
"Beyond Spots & Dots","57%","$4.8m","Advertising & Marketing","Pennsylvania","Pittsburgh PA",,35,
"FCP Euro","57%","$20.8m","Retail","Connecticut","New Haven-Milford CT",,40,
"MindFire Communications","57%","$3.2m","Advertising & Marketing","Iowa","Davenport-Moline-Rock Island IA-IL",,16,
"ProviDyn","57%","$2.5m","IT Services","Georgia","Atlanta",,13,
"TSP","57%","$63.6m","IT Services","Texas","Dallas",,617,
"OpenSymmetry","57%","$26.2m","Business Products & Services","Texas","Austin",,165,
"Primary Wave Media","56%","$4.6m","Advertising & Marketing","New York","New York City",,25,
"EHS Support","56%","$14m","Environmental Services","Pennsylvania","Pittsburgh PA",,71,
"Concept Software & Services","56%","$6.3m","IT Services","Georgia","Atlanta",,51,
"ATKG","56%","$4.3m","Financial Services","Texas","San Antonio TX",,29,
"Allied Associates International","56%","$19.6m","Government Services","Virginia","Washington DC",,89,
"North American Transport Services","56%","$45.3m","Logistics & Transportation","Florida","Miami",,46,
"Maller Wealth Advisors","56%","$5.2m","Financial Services","Maryland","Baltimore",,19,
"Kidder Mathews","56%","$127.8m","Real Estate","Washington","Seattle",,522,
"Bat City Awards & Apparel","56%","$2.3m","Business Products & Services","Texas","Austin",,13,
"PM Environmental","56%","$18.9m","Environmental Services","Michigan","Lansing-East Lansing MI",,140,
"CalChoice Investments","56%","$5.1m","Real Estate","California","Los Angeles",,12,
"SCIO Health Analytics","56%","$58.9m","Health","Connecticut","Hartford-West Hartford-East Hartford CT",,870,
"Everything Kitchens","56%","$21.4m","Retail","Missouri","Springfield MO",,28,
"Loffler Companies","56%","$94.1m","Business Products & Services","Minnesota","Minneapolis",,411,
"Kona Ice","56%","$18.1m","Food & Beverage","Kentucky","Cincinnati",,40,
"Arizona Painting Company","56%","$6m","Construction","Arizona","Phoenix",,60,
"Venetia Partners","56%","$9.8m","Business Products & Services","Pennsylvania","Pittsburgh PA",,33,
"American Renal Associates","56%","$657.5m","Health","Massachusetts","Boston",,4030,
"endevis","56%","$11.6m","Human Resources","Ohio","Dayton OH",,65,
"New Penn Financial","56%","$275.4m","Financial Services","Pennsylvania","Philadelphia",,1777,
